Date,Time,Open,High,Low,Close
2026-04-28,13:22,127910.79,127916.83,127837.41,127847.48
2026-04-28,13:23,127848.47,127871.28,127832.11,127850.39
2026-04-28,13:24,127852.48,127900.60,127821.20,127893.88
2026-04-28,13:25,127898.11,127931.37,127882.74,127913.77
2026-04-28,13:26,127917.78,127950.95,127778.17,127813.18
2026-04-28,13:27,127818.24,127830.00,127792.64,127812.32
2026-04-28,13:28,127806.18,127817.99,127776.83,127776.83
2026-04-28,13:29,127770.42,127773.48,127704.07,127728.07
2026-04-28,13:30,127718.60,127724.35,127634.61,127652.05
2026-04-28,13:31,127649.81,127655.85,127574.04,127578.14
2026-04-28,13:32,127585.62,127608.41,127563.02,127575.76
2026-04-28,13:33,127579.24,127640.98,127562.39,127636.66
2026-04-28,13:34,127630.63,127649.68,127608.45,127641.31
2026-04-28,13:35,127639.65,127677.04,127612.35,127674.03
2026-04-28,13:36,127672.99,127733.06,127663.43,127684.83
2026-04-28,13:37,127690.26,127758.94,127689.13,127758.36
2026-04-28,13:38,127758.93,127766.43,127735.61,127757.68
2026-04-28,13:39,127758.52,127791.67,127728.72,127789.35
2026-04-28,13:40,127791.88,127838.45,127768.85,127822.20
2026-04-28,13:41,127813.17,127854.79,127785.28,127786.69
2026-04-28,13:42,127781.55,127792.77,127742.39,127755.48
2026-04-28,13:43,127760.45,127760.45,127705.64,127719.52
2026-04-28,13:44,127712.91,127720.89,127658.13,127673.50
2026-04-28,13:45,127675.33,127701.56,127643.84,127676.32
2026-04-28,13:46,127676.95,127695.79,127647.35,127688.60
2026-04-28,13:47,127689.59,127710.19,127658.58,127684.67
2026-04-28,13:48,127682.13,127686.87,127610.06,127678.46
2026-04-28,13:49,127681.63,127689.43,127579.29,127612.78
2026-04-28,13:50,127611.48,127658.24,127596.75,127645.30
2026-04-28,13:51,127640.44,127692.62,127637.81,127676.72
2026-04-28,13:52,127690.58,127713.51,127632.51,127639.55
2026-04-28,13:53,127638.93,127648.67,127602.01,127605.29
2026-04-28,13:54,127607.64,127637.84,127601.70,127606.89
2026-04-28,13:55,127599.54,127629.73,127579.44,127600.17
2026-04-28,13:56,127605.06,127614.31,127525.36,127537.55
2026-04-28,13:57,127528.51,127557.09,127513.96,127523.72
2026-04-28,13:58,127526.49,127581.00,127526.49,127580.80
2026-04-28,13:59,127578.34,127632.70,127573.72,127617.82
2026-04-28,14:00,127627.80,127669.80,127623.18,127650.46
2026-04-28,14:01,127656.67,127669.86,127618.29,127632.50
2026-04-28,14:02,127637.26,127637.26,127576.28,127594.72
2026-04-28,14:03,127600.16,127638.51,127577.87,127577.87
2026-04-28,14:04,127579.38,127593.40,127539.35,127539.35
2026-04-28,14:05,127534.63,127541.97,127468.90,127468.90
2026-04-28,14:06,127467.91,127496.30,127439.62,127472.19
2026-04-28,14:07,127477.73,127482.03,127425.00,127435.61
2026-04-28,14:08,127431.74,127431.74,127377.21,127430.55
2026-04-28,14:09,127435.17,127453.13,127401.74,127401.74
2026-04-28,14:10,127401.72,127401.72,127311.21,127311.21
2026-04-28,14:11,127306.36,127338.47,127300.28,127324.99
2026-04-28,14:12,127320.70,127333.51,127285.20,127289.88
2026-04-28,14:13,127287.57,127295.91,127179.76,127219.88
2026-04-28,14:14,127228.61,127253.59,127200.05,127201.97
2026-04-28,14:15,127200.24,127213.59,127141.95,127159.98
2026-04-28,14:16,127166.24,127189.24,127158.30,127182.63
2026-04-28,14:17,127186.86,127298.67,127186.86,127280.08
2026-04-28,14:18,127279.00,127315.51,127269.10,127282.62
2026-04-28,14:19,127296.68,127362.25,127294.33,127362.25
2026-04-28,14:20,127367.66,127394.56,127336.36,127350.62
2026-04-28,14:21,127350.21,127439.52,127337.53,127439.52
2026-04-28,14:22,127443.96,127471.60,127440.52,127451.99
2026-04-28,14:23,127446.64,127510.44,127446.64,127460.71
2026-04-28,14:24,127455.69,127479.09,127424.94,127469.82
